site_location,bath,balcony,price,bhk,price_per_sqft,new_total_sqft,_site_location
Navi Peth,1,0,37,1,6166.666667,600,Navi Peth
Padmavati,2,1,59,2,4545.454545,1298,Padmavati
Parvati Darshan,3,2,135,3,7894.736842,1710,Parvati Darshan
Pashan,2,1,45,2,4500,1000,Pashan
Paud Road,3,3,150,3,4477.61194,3350,Paud Road
Pirangut,4,1,138,2,11500,1200,Pirangut
Prabhat Road,2,2,68,2,6181.818182,1100,Prabhat Road
Pune Railway Station,1,1,46,1,7479.674797,615,Pune Railway Station
Rasta Peth,2,1,85,2,6296.296296,1350,Rasta Peth
Raviwar Peth,5,2,325,4,6500,5000,Raviwar Peth
Sadashiv Peth,3,1,501,3,18555.55556,2700,Sadashiv Peth
Sahakar Nagar,6,2,460,6,11500,4000,Sahakar Nagar
Salunke Vihar,3,2,130,3,7566.9383,1718,Salunke Vihar
Sasson Road,3,2,112,3,6666.666667,1680,Sasson Road
Satara Road,2,0,90,2,6000,1500,Satara Road
Senapati Bapat Road,2,1,72,3,6222.990493,1157,Senapati Bapat Road
Shaniwar Peth,2,1,51,2,4325.699746,1179,Shaniwar Peth
Shivaji Nagar,2,0,60.48,2,4599.239544,1315,Shivaji Nagar
Shukrawar Peth,2,2,28.18,2,2550.226244,1105,Shukrawar Peth
Sinhagad Road,3,2,175,3,9722.222222,1800,Sinhagad Road
Somwar Peth,2,1,52,2,5148.514851,1010,Somwar Peth
Swargate,1,1,46,1,7301.587302,630,Swargate
Tilak Road,2,1,36.1,2,3008.333333,1200,Tilak Road
Uruli Devachi,2,1,60,2,5853.658537,1025,Uruli Devachi
Vadgaon Budruk,2,2,59,2,4937.238494,1195,Vadgaon Budruk
Wadgaon Sheri,2,1,58,2,5731.225296,1012,Wadgaon Sheri
Viman Nagar,4,2,118,3,6263.269639,1884,Viman Nagar
Vishrant Wadi,2,1,37,2,3394.495413,1090,Vishrant Wadi
Wagholi,3,2,77.99,3,5999.230769,1300,Wagholi
Wakadewadi,4,2,250,4,8474.576271,2950,Wakadewadi
Wanowrie,3,3,85,3,4970.760234,1710,Wanowrie
Warje,3,1,68,3,4533.333333,1500,Warje
Yerawada,2,2,53,3,4045.801527,1310,Yerawada
Alandi Road,1,1,19.9,2,2952.522255,674,Alandi Road
Ambegaon Budruk,3,2,70,3,5185.185185,1350,Ambegaon Budruk
Anandnagar,2,2,115,3,7855.191257,1464,Anandnagar
Aundh,2,1,29,3,4055.944056,715,Aundh
Aundh Road,2,1,40.45,3,2889.285714,1400,Aundh Road
Balaji Nagar,2,2,48.75,3,3000,1625,Balaji Nagar
Baner,2,1,30.76,2,2888.262911,1065,Baner
Baner road,4,1,70,6,13725.4902,510,Baner road
Bhandarkar Road,3,3,90,3,6498.194946,1385,Bhandarkar Road
Bhavani Peth,2,1,50,2,4807.692308,1040,Bhavani Peth
Bibvewadi,3,2,110,3,6053.935058,1817,Bibvewadi
Bopodi,2,1,47,2,3900.414938,1205,Bopodi
Budhwar Peth,2,2,33.43,2,3124.299065,1070,Budhwar Peth
Bund Garden Road,2,1,52,2,4859.813084,1070,Bund Garden Road
Camp,2,1,75,2,5597.014925,1340,Camp
Chandan Nagar,2,2,35,2,3571.428571,980,Chandan Nagar
Dapodi,2,0,44,2,4373.757455,1006,Dapodi
Deccan Gymkhana,2,1,71,2,6466.302368,1098,Deccan Gymkhana
Dehu Road,2,1,53.5,2,4458.333333,1200,Dehu Road
Dhankawadi,4,2,325,4,7756.563246,4190,Dhankawadi
Dhayari Phata,2,1,62,2,6084.396467,1019,Dhayari Phata
Dhole Patil Road,2,2,40.21,2,3496.521739,1150,Dhole Patil Road
Erandwane,3,1,120,3,6922.411307,1733.5,Erandwane
Fatima Nagar,2,2,120,2,8480.565371,1415,Fatima Nagar
Fergusson College Road,3,2,58,3,3314.285714,1750,Fergusson College Road
Ganesh Peth,3,2,81,3,5270.006506,1537,Ganesh Peth
Ganeshkhind,2,2,45,2,4285.714286,1050,Ganeshkhind
Ghorpade Peth,3,3,55.6,3,3829.201102,1452,Ghorpade Peth
Ghorpadi,2,1,95,2,7624.398074,1246,Ghorpadi
Gokhale Nagar,4,2,85,3,4497.354497,1890,Gokhale Nagar
Gultekdi,2,1,40,2,4115.226337,972,Gultekdi
Guruwar peth,4,2,2340,4,22025.60241,10624,Guruwar peth
Hadapsar,5,3,160,4,10666.66667,1500,Hadapsar
Hadapsar Industrial Estate,1,1,33.7,1,5349.206349,630,Hadapsar Industrial Estate
Hingne Khurd,5,0,80,8,7619.047619,1050,Hingne Khurd
Jangali Maharaj Road,2,1,60,3,4780.876494,1255,Jangali Maharaj Road
Kalyani Nagar,4,2,185,4,9736.842105,1900,Kalyani Nagar
Karve Nagar,3,1,142,3,5819.672131,2440,Karve Nagar
Karve Road,3,3,92.69,3,4782.765738,1938,Karve Road
Kasba Peth,3,2,125,3,7305.669199,1711,Kasba Peth
Katraj,4,3,240,5,20000,1200,Katraj
Khadaki,2,1,95,2,6824.712644,1392,Khadaki
Khadki,2,1,77,2,6285.714286,1225,Khadki
Kharadi,3,2,235,4,6875.365711,3418,Kharadi
Kondhwa,3,2,120,3,6857.142857,1750,Kondhwa
Kondhwa Budruk,2,1,80,3,6349.206349,1260,Kondhwa Budruk
Kondhwa Khurd,1,1,31.1,1,4500.723589,691,Kondhwa Khurd
Koregaon Park,3,2,400,4,16666.66667,2400,Koregaon Park
Kothrud,2,1,78,2,6070.038911,1285,Kothrud
Law College Road,3,2,96,3,6037.735849,1590,Law College Road
Laxmi Road,3,2,65,3,4137.492043,1571,Laxmi Road
Lulla Nagar,5,1,220,5,7857.142857,2800,Lulla Nagar
Mahatma Gandhi Road,2,1,48.66,2,4590.566038,1060,Mahatma Gandhi Road
Mangalwar peth,2,1,58,2,4621.513944,1255,Mangalwar peth
Manik Bagh,4,0,65,4,9259.259259,702,Manik Bagh
Market yard,2,2,185,3,7708.333333,2400,Market yard
Model colony,2,3,81,3,5328.947368,1520,Model colony
Mukund Nagar,2,2,70.99,3,4639.869281,1530,Mukund Nagar
Mundhawa,2,1,45.51,2,3889.74359,1170,Mundhawa
Nagar Road,3,2,75,3,4746.835443,1580,Nagar Road
Nana Peth,3,2,89,3,5007.708495,1777.26,Nana Peth
Narayan Peth,2,2,55.78,2,4280.890253,1303,Narayan Peth
Narayangaon,2,3,59,2,3511.904762,1680,Narayangaon
Navi Peth,2,2,70,3,4682.274247,1495,Navi Peth
Padmavati,3,1,108,3,5885.558583,1835,Padmavati
Parvati Darshan,3,1,60,3,9836.065574,610,Parvati Darshan
Pashan,2,2,38,2,3518.518519,1080,Pashan
Paud Road,2,1,29.61,2,2888.780488,1025,Paud Road
Pirangut,2,1,67.48,2,5508.571429,1225,Pirangut
Prabhat Road,1,1,34.77,1,5300.304878,656,Prabhat Road
Pune Railway Station,2,2,45,2,4527.162978,994,Pune Railway Station
Rasta Peth,2,1,65,2,6341.463415,1025,Rasta Peth
Raviwar Peth,2,2,52,2,4498.269896,1156,Raviwar Peth
Sadashiv Peth,2,2,60,2,4800,1250,Sadashiv Peth
Sahakar Nagar,4,3,230,4,7438.5511,3092,Sahakar Nagar
Salunke Vihar,4,2,122,3,6321.243523,1930,Salunke Vihar
Sasson Road,2,1,70,2,6862.745098,1020,Sasson Road
Satara Road,2,1,70,3,5343.51145,1310,Satara Road
Senapati Bapat Road,1,0,27.565,1,4500.408163,612.5,Senapati Bapat Road
Shaniwar Peth,2,3,70,2,5295.007564,1322,Shaniwar Peth
Shivaji Nagar,2,2,57,2,4913.793103,1160,Shivaji Nagar
Shukrawar Peth,2,2,48,2,4363.636364,1100,Shukrawar Peth
Sinhagad Road,3,3,150,3,8720.930233,1720,Sinhagad Road
Somwar Peth,3,2,103,3,6098.283008,1689,Somwar Peth
Swargate,2,1,47.42,2,4350.458716,1090,Swargate
Tilak Road,2,0,75,2,3750,2000,Tilak Road
Uruli Devachi,2,2,69,2,5974.025974,1155,Uruli Devachi
Vadgaon Budruk,6,0,230,6,5750,4000,Vadgaon Budruk
Wadgaon Sheri,5,0,176,4,4497.827754,3913,Wadgaon Sheri
Viman Nagar,5,2,320,3,9090.909091,3520,Viman Nagar
Vishrant Wadi,2,2,39.98,2,3553.777778,1125,Vishrant Wadi
Wagholi,3,3,92,3,4981.050352,1847,Wagholi
Wakadewadi,2,1,76,3,5016.50165,1515,Wakadewadi
Wanowrie,7,2,225,8,6521.73913,3450,Wanowrie
Warje,3,1,120,5,4800,2500,Warje
Yerawada,2,2,55,2,4867.256637,1130,Yerawada
Alandi Road,2,1,51,2,4861.773117,1049,Alandi Road
Ambegaon Budruk,4,0,175,3,6603.773585,2650,Ambegaon Budruk
Anandnagar,2,1,25.4,2,2988.235294,850,Anandnagar
Aundh,3,2,115,3,6243.213898,1842,Aundh
Aundh Road,5,3,370,5,14230.76923,2600,Aundh Road
Balaji Nagar,2,1,72,2,5616.224649,1282,Balaji Nagar
Baner,2,1,40,2,5000,800,Baner
Baner road,4,2,240,4,20000,1200,Baner road
Bhandarkar Road,2,2,30.35,3,2550.420168,1190,Bhandarkar Road
Bhavani Peth,2,1,68,3,5159.332322,1318,Bhavani Peth
Bibvewadi,2,1,105,2,6183.745583,1698,Bibvewadi
Bopodi,2,1,182,3,8965.517241,2030,Bopodi
Budhwar Peth,2,1,31.9,3,2500,1276,Budhwar Peth
Bund Garden Road,2,1,67,3,4308.681672,1555,Bund Garden Road
Camp,3,2,145,3,7708.665603,1881,Camp
Chandan Nagar,3,2,325,3,11206.89655,2900,Chandan Nagar
Dapodi,3,2,109,3,5767.195767,1890,Dapodi
Deccan Gymkhana,5,2,135,5,15000,900,Deccan Gymkhana
Dehu Road,2,1,32,2,3422.459893,935,Dehu Road
Dhankawadi,2,3,58,2,5800,1000,Dhankawadi
Dhayari Phata,3,2,75,3,4966.887417,1510,Dhayari Phata
Dhole Patil Road,2,1,50,2,4464.285714,1120,Dhole Patil Road
Erandwane,2,1,25.99,2,2794.623656,930,Erandwane
Fatima Nagar,2,2,42,3,3620.689655,1160,Fatima Nagar
Fergusson College Road,2,2,48.1,2,3389.711064,1419,Fergusson College Road
Ganesh Peth,2,2,62,2,5276.595745,1175,Ganesh Peth
Ganeshkhind,2,1,63,3,4666.666667,1350,Ganeshkhind
Ghorpade Peth,3,2,330,3,14898.41986,2215,Ghorpade Peth
Ghorpadi,2,1,24.9,2,2500,996,Ghorpadi
Gokhale Nagar,2,1,30.13,2,2800.185874,1076,Gokhale Nagar
Gultekdi,4,3,115,4,5275.229358,2180,Gultekdi
Guruwar peth,3,3,112,3,6530.612245,1715,Guruwar peth
Hadapsar,2,2,45,2,4197.761194,1072,Hadapsar
Hadapsar Industrial Estate,2,1,80,2,6504.065041,1230,Hadapsar Industrial Estate
Hingne Khurd,2,1,65,3,4062.5,1600,Hingne Khurd
Jangali Maharaj Road,3,1,93.25,3,6608.788094,1411,Jangali Maharaj Road
Kalyani Nagar,5,3,145,5,4027.777778,3600,Kalyani Nagar
Karve Nagar,3,2,138,3,5740.432612,2404,Karve Nagar
Karve Road,4,2,190,4,15833.33333,1200,Karve Road
Kasba Peth,3,2,226,3,18833.33333,1200,Kasba Peth
Katraj,3,1,45,3,3725.165563,1208,Katraj
Khadaki,5,2,300,5,17647.05882,1700,Khadaki
Khadki,2,1,69.84,2,5701.22449,1225,Khadki
Kharadi,2,1,69,2,5938.037866,1162,Kharadi
Kondhwa,2,1,65,3,5150.554675,1262,Kondhwa
Kondhwa Budruk,2,2,35,2,3333.333333,1050,Kondhwa Budruk
Kondhwa Khurd,2,1,33.51,2,2888.793103,1160,Kondhwa Khurd
Koregaon Park,3,1,61.95,3,4130,1500,Koregaon Park
Kothrud,3,3,85,3,5279.503106,1610,Kothrud
Law College Road,2,2,41,2,3059.701493,1340,Law College Road
Laxmi Road,4,2,182,3,8000,2275,Laxmi Road
Lulla Nagar,2,1,58,2,4991.394148,1162,Lulla Nagar
Mahatma Gandhi Road,2,0,145,2,9666.666667,1500,Mahatma Gandhi Road
Mangalwar peth,3,1,135,4,4285.714286,3150,Mangalwar peth
Manik Bagh,2,2,65,2,5555.555556,1170,Manik Bagh
Market yard,2,1,25,2,2551.020408,980,Market yard
Model colony,3,2,60,3,3333.333333,1800,Model colony
Mukund Nagar,2,1,71.73,3,5040.75896,1423,Mukund Nagar
Mundhawa,2,3,40,2,3616.636528,1106,Mundhawa
Nagar Road,2,2,27.6,2,2497.737557,1105,Nagar Road
Nana Peth,6,2,1800,4,24000,7500,Nana Peth
Narayan Peth,2,1,56.7,2,4517.928287,1255,Narayan Peth
Narayangaon,2,2,65,3,4262.295082,1525,Narayangaon
Navi Peth,2,1,38.95,2,3671.065033,1061,Navi Peth
Padmavati,2,2,29.5,2,4916.666667,600,Padmavati
Parvati Darshan,2,2,40.45,3,2889.285714,1400,Parvati Darshan
Pashan,3,2,145,3,6904.761905,2100,Pashan
Paud Road,1,1,16.5,2,2500,660,Paud Road
Pirangut,1,1,18,2,2843.601896,633,Pirangut
Prabhat Road,2,3,120,2,9523.809524,1260,Prabhat Road
Pune Railway Station,2,0,55.43,2,6111.356119,907,Pune Railway Station
Rasta Peth,3,2,67.55,3,3299.951148,2047,Rasta Peth
Raviwar Peth,4,3,189,4,7277.628032,2597,Raviwar Peth
Sadashiv Peth,2,1,63,2,5202.312139,1211,Sadashiv Peth
Sahakar Nagar,3,2,129,3,6775.210084,1904,Sahakar Nagar
Salunke Vihar,2,1,73.87,2,6130.290456,1205,Salunke Vihar
Sasson Road,2,2,64.08,2,5505.154639,1164,Sasson Road
Satara Road,2,2,73,2,5177.304965,1410,Satara Road
Senapati Bapat Road,2,1,42,2,3652.173913,1150,Senapati Bapat Road
Shaniwar Peth,2,2,53.11,2,4539.316239,1170,Shaniwar Peth
Shivaji Nagar,2,1,62,2,4366.197183,1420,Shivaji Nagar
Shukrawar Peth,2,2,45,2,4000,1125,Shukrawar Peth
Sinhagad Road,3,3,75,3,4192.286193,1789,Sinhagad Road
Somwar Peth,2,1,76,2,7443.682664,1021,Somwar Peth
Swargate,2,2,26.85,2,2500,1074,Swargate
Tilak Road,2,3,48,2,3927.986907,1222,Tilak Road
Uruli Devachi,3,1,134,3,6764.260475,1981,Uruli Devachi
Vadgaon Budruk,2,2,55,2,4986.400725,1103,Vadgaon Budruk
Wadgaon Sheri,2,1,65,2,5412.156536,1201,Wadgaon Sheri
Viman Nagar,2,1,36,2,3711.340206,970,Viman Nagar
Vishrant Wadi,2,2,33,2,3586.956522,920,Vishrant Wadi
Wagholi,3,3,85,3,5592.105263,1520,Wagholi
Wakadewadi,3,2,75,3,11111.11111,675,Wakadewadi
Wanowrie,2,1,75,3,5914.826498,1268,Wanowrie
Warje,1,0,30,1,4545.454545,660,Warje
Yerawada,3,2,115,3,6552.706553,1755,Yerawada
Alandi Road,2,1,35,2,3703.703704,945,Alandi Road
Ambegaon Budruk,1,1,33,1,6600,500,Ambegaon Budruk
Anandnagar,4,0,153.5,4,5443.262411,2820,Anandnagar
Aundh,3,0,140,4,8578.431373,1632,Aundh
Aundh Road,2,2,37.5,2,3213.367609,1167,Aundh Road
Balaji Nagar,2,2,80,2,6269.592476,1276,Balaji Nagar
Baner,2,2,51,2,4132.901135,1234,Baner
Baner road,2,1,75,2,6355.932203,1180,Baner road
Bhandarkar Road,2,2,87,3,6350.364964,1370,Bhandarkar Road
Bhavani Peth,2,2,25.88,2,2549.753695,1015,Bhavani Peth
Bibvewadi,9,3,230,9,19166.66667,1200,Bibvewadi
Bopodi,3,1,90,3,6428.571429,1400,Bopodi
Budhwar Peth,6,3,155,5,10333.33333,1500,Budhwar Peth
Bund Garden Road,2,0,40,2,3809.52381,1050,Bund Garden Road
Camp,2,1,46,2,3677.058353,1251,Camp
Chandan Nagar,3,2,92.13,3,5493.738819,1677,Chandan Nagar
Dapodi,2,1,67.38,2,5005.943536,1346,Dapodi
Deccan Gymkhana,2,1,31.48,2,2888.073394,1090,Deccan Gymkhana
Dehu Road,4,3,240,5,20000,1200,Dehu Road
Dhankawadi,2,3,51.1,3,3961.24031,1290,Dhankawadi
Dhayari Phata,7,2,1500,5,19962.73623,7514,Dhayari Phata
Dhole Patil Road,3,2,145,3,7708.665603,1881,Dhole Patil Road
Erandwane,2,2,52,2,4521.73913,1150,Erandwane
Fergusson College Road,3,2,295,3,10966.54275,2690,Fergusson College Road
Ganesh Peth,2,2,42,3,3500,1200,Ganesh Peth
Ghorpade Peth,4,2,340,3,12431.44424,2735,Ghorpade Peth
Ghorpadi,2,0,65,2,6842.105263,950,Ghorpadi
Gokhale Nagar,3,3,40.5,3,2716.297787,1491,Gokhale Nagar
Gultekdi,2,1,51.66,2,4920,1050,Gultekdi
Guruwar peth,3,2,131,3,7891.566265,1660,Guruwar peth
Hadapsar,2,2,55,2,4850.088183,1134,Hadapsar
Hadapsar Industrial Estate,2,1,60,2,5454.545455,1100,Hadapsar Industrial Estate
Hingne Khurd,4,2,60,4,7500,800,Hingne Khurd
Jangali Maharaj Road,2,1,36.1,2,3008.333333,1200,Jangali Maharaj Road
Kalyani Nagar,4,3,240,4,20000,1200,Kalyani Nagar
Karve Nagar,3,1,80,3,8163.265306,980,Karve Nagar
Karve Road,2,1,37.8,2,3500,1080,Karve Road
Kasba Peth,2,1,50,1,7092.198582,705,Kasba Peth
Katraj,2,2,35,3,2916.666667,1200,Katraj
Khadaki,2,1,50,2,4166.666667,1200,Khadaki
Khadki,3,2,127,3,7039.911308,1804,Khadki
Kharadi,2,0,20,2,2666.666667,750,Kharadi
Kondhwa,1,1,25,2,5952.380952,420,Kondhwa
Kondhwa Budruk,4,2,252,4,9000,2800,Kondhwa Budruk
Kondhwa Khurd,2,2,38.37,2,3520.183486,1090,Kondhwa Khurd
Koregaon Park,2,0,230,2,15333.33333,1500,Koregaon Park
Kothrud,3,1,55,3,4273.504274,1287,Kothrud
Law College Road,4,2,157,3,7088.036117,2215,Law College Road
Laxmi Road,4,2,375,4,13392.85714,2800,Laxmi Road
Lulla Nagar,2,2,42.15,2,4033.492823,1045,Lulla Nagar
Mahatma Gandhi Road,2,1,47.36,2,3749.802059,1263,Mahatma Gandhi Road
Mangalwar peth,3,2,85,3,5939.902166,1431,Mangalwar peth
Manik Bagh,2,2,32.9,2,3293.293293,999,Manik Bagh
Market yard,3,2,85.5,3,5181.818182,1650,Market yard
Model colony,3,1,72,3,4690.553746,1535,Model colony
Mukund Nagar,5,2,180,4,7131.537242,2524,Mukund Nagar
Mundhawa,3,2,69,3,5307.692308,1300,Mundhawa
Nagar Road,3,2,125,3,20833.33333,600,Nagar Road
Nana Peth,3,2,150,3,7159.904535,2095,Nana Peth
Narayan Peth,1,1,8,1,2816.901408,284,Narayan Peth
Narayangaon,1,1,14,1,2800,500,Narayangaon
Navi Peth,2,2,68,2,5375.494071,1265,Navi Peth
Padmavati,2,1,44.96,2,3700.411523,1215,Padmavati
Parvati Darshan,2,0,180,2,8181.818182,2200,Parvati Darshan
Pashan,2,1,51,2,4961.089494,1028,Pashan
Paud Road,2,2,92,3,5013.623978,1835,Paud Road
Pirangut,3,3,65,3,3611.111111,1800,Pirangut
Prabhat Road,3,3,175,3,8425.613866,2077,Prabhat Road
Pune Railway Station,3,2,211,4,7326.388889,2880,Pune Railway Station
Rasta Peth,5,0,89,6,17835.67134,499,Rasta Peth
Raviwar Peth,2,1,31.15,2,4399.717514,708,Raviwar Peth
Sadashiv Peth,2,3,120,2,10000,1200,Sadashiv Peth
Sahakar Nagar,2,1,46.25,2,5000,925,Sahakar Nagar
Salunke Vihar,3,1,148,3,5237.084218,2826,Salunke Vihar
Sasson Road,1,0,33.66,1,7349.344978,458,Sasson Road
Satara Road,4,0,150,4,4285.714286,3500,Satara Road
Senapati Bapat Road,4,2,250,4,4629.62963,5400,Senapati Bapat Road
Shaniwar Peth,5,2,200,4,20000,1000,Shaniwar Peth
Shivaji Nagar,2,1,90,3,6206.896552,1450,Shivaji Nagar
Shukrawar Peth,2,1,65,2,5909.090909,1100,Shukrawar Peth
Sinhagad Road,2,3,55,2,4641.350211,1185,Sinhagad Road
Somwar Peth,4,2,80,4,4210.526316,1900,Somwar Peth
Swargate,2,1,70,2,5833.333333,1200,Swargate
Tilak Road,1,1,35,1,5303.030303,660,Tilak Road
Uruli Devachi,4,2,121,3,6302.083333,1920,Uruli Devachi
Vadgaon Budruk,2,0,130,2,10833.33333,1200,Vadgaon Budruk
Wadgaon Sheri,2,2,222,4,6495.026331,3418,Wadgaon Sheri
Viman Nagar,2,1,240,4,5274.725275,4550,Viman Nagar
Vishrant Wadi,2,1,68.32,2,5669.709544,1205,Vishrant Wadi
Wagholi,2,2,46,2,3833.333333,1200,Wagholi
Wakadewadi,2,2,73,3,5137.227305,1421,Wakadewadi
Wanowrie,3,3,48.9,3,3912,1250,Wanowrie
Warje,1,1,29,1,5534.351145,524,Warje
Yerawada,5,2,245,5,5833.333333,4200,Yerawada
Alandi Road,3,2,90,3,5844.155844,1540,Alandi Road
Ambegaon Budruk,2,1,45.91,2,4665.650407,984,Ambegaon Budruk
Anandnagar,2,1,50.17,2,5093.401015,985,Anandnagar
Aundh,4,3,161,4,5689.045936,2830,Aundh
Aundh Road,2,3,60,2,5263.157895,1140,Aundh Road
Balaji Nagar,5,3,130,5,3611.111111,3600,Balaji Nagar
Baner,2,3,44.42,3,3150.35461,1410,Baner
Baner road,2,2,86,3,5058.823529,1700,Baner road
Bhandarkar Road,2,0,62.425,2,4590.073529,1360,Bhandarkar Road
Bhavani Peth,3,2,700,4,38888.88889,1800,Bhavani Peth
Bibvewadi,2,1,86.65,2,6500.375094,1333,Bibvewadi
Bopodi,2,1,85.5,2,6796.502385,1258,Bopodi
Budhwar Peth,2,2,87,3,5967.078189,1458,Budhwar Peth
Bund Garden Road,2,1,85,2,6132.756133,1386,Bund Garden Road
Camp,2,1,32.92,2,2887.719298,1140,Camp
Chandan Nagar,1,1,27,1,4909.090909,550,Chandan Nagar
Dapodi,2,3,83,2,6916.666667,1200,Dapodi
Deccan Gymkhana,2,1,39,2,3607.770583,1081,Deccan Gymkhana
Dehu Road,3,2,149,4,6978.922717,2135,Dehu Road
Dhankawadi,4,0,100,4,4000,2500,Dhankawadi
Dhayari Phata,2,1,80,2,6791.171477,1178,Dhayari Phata
Dhole Patil Road,2,2,40,2,4036.326942,991,Dhole Patil Road
Erandwane,2,3,90,3,6028.131279,1493,Erandwane
Fatima Nagar,3,3,130,3,5210.420842,2495,Fatima Nagar
Fergusson College Road,2,1,31.99,2,2962.037037,1080,Fergusson College Road
Ganesh Peth,2,1,53,2,6511.056511,814,Ganesh Peth
Ganeshkhind,2,1,50,2,4878.04878,1025,Ganeshkhind
Ghorpade Peth,2,1,61,2,5470.852018,1115,Ghorpade Peth
Ghorpadi,2,3,188,4,6113.821138,3075,Ghorpadi
Gokhale Nagar,3,0,162,7,8526.315789,1900,Gokhale Nagar
Gultekdi,3,2,160,3,9090.909091,1760,Gultekdi
Guruwar peth,8,1,150,7,3750,4000,Guruwar peth
Hadapsar,4,2,350,4,11326.86084,3090,Hadapsar
Hadapsar Industrial Estate,4,3,295,4,10925.92593,2700,Hadapsar Industrial Estate
Hingne Khurd,2,2,52.86,2,4498.723404,1175,Hingne Khurd
Jangali Maharaj Road,5,3,364,4,8595.041322,4235,Jangali Maharaj Road
Kalyani Nagar,2,2,45,2,4090.909091,1100,Kalyani Nagar
Karve Nagar,7,1,175,8,14583.33333,1200,Karve Nagar
Karve Road,2,2,50.75,2,3500,1450,Karve Road
Kasba Peth,3,3,131,3,7237.569061,1810,Kasba Peth
Katraj,2,3,71,3,4978.962132,1426,Katraj
Khadaki,2,3,195,3,8125,2400,Khadaki
Khadki,2,1,70,2,6363.636364,1100,Khadki
Kharadi,1,1,35,1,5384.615385,650,Kharadi
Kondhwa,3,2,47.25,3,3500,1350,Kondhwa
Kondhwa Budruk,2,1,27,2,3000,900,Kondhwa Budruk
Kondhwa Khurd,2,3,110,2,8088.235294,1360,Kondhwa Khurd
Koregaon Park,1,1,36.85,1,5467.35905,674,Koregaon Park
Kothrud,3,2,110,3,6646.52568,1655,Kothrud
Law College Road,2,2,95,2,7307.692308,1300,Law College Road
Laxmi Road,1,0,53,1,5662.393162,936,Laxmi Road
Lulla Nagar,2,2,92,2,7204.385278,1277,Lulla Nagar
Mahatma Gandhi Road,2,1,54,2,4500,1200,Mahatma Gandhi Road
Mangalwar peth,2,1,39.08,2,3850.246305,1015,Mangalwar peth
Manik Bagh,2,2,60,2,5203.816132,1153,Manik Bagh
Market yard,2,1,51.5,2,4975.845411,1035,Market yard
Model colony,3,1,255,5,7727.272727,3300,Model colony
Mukund Nagar,2,1,46,2,4000,1150,Mukund Nagar
Mundhawa,2,1,80,2,7843.137255,1020,Mundhawa
Nagar Road,6,0,212.5,4,5720.053836,3715,Nagar Road
Nana Peth,2,1,95,2,8189.655172,1160,Nana Peth
Narayan Peth,2,1,31,3,2883.72093,1075,Narayan Peth
Narayangaon,2,2,72,2,5877.55102,1225,Narayangaon
Navi Peth,5,3,950,4,19000,5000,Navi Peth
Padmavati,2,1,160,2,10000,1600,Padmavati
Parvati Darshan,1,0,90,2,15000,600,Parvati Darshan
Pashan,3,2,60,3,4444.444444,1350,Pashan
Paud Road,3,1,69,3,5307.692308,1300,Paud Road
Pirangut,2,1,36.28,2,4371.084337,830,Pirangut
Prabhat Road,2,1,69.18,2,5989.61039,1155,Prabhat Road
Pune Railway Station,5,3,345,4,11036.46833,3126,Pune Railway Station
Rasta Peth,2,2,55,2,6077.348066,905,Rasta Peth
Raviwar Peth,2,0,75,3,5454.545455,1375,Raviwar Peth
Sahakar Nagar,2,2,33.84,2,2968.421053,1140,Sahakar Nagar
Salunke Vihar,2,2,60,3,3870.967742,1550,Salunke Vihar
Sasson Road,2,1,55,2,5747.126437,957,Sasson Road
Satara Road,2,2,45,2,5056.179775,890,Satara Road
Senapati Bapat Road,4,2,235,4,7833.333333,3000,Senapati Bapat Road
Shaniwar Peth,2,1,55,2,5140.186916,1070,Shaniwar Peth
Shivaji Nagar,5,1,150,5,6250,2400,Shivaji Nagar
Shukrawar Peth,4,2,595,4,24791.66667,2400,Shukrawar Peth
Sinhagad Road,2,1,37,2,4000,925,Sinhagad Road
Somwar Peth,2,2,60,2,4240.282686,1415,Somwar Peth
Swargate,2,0,80,1,16000,500,Swargate
Tilak Road,2,1,37,2,3020.408163,1225,Tilak Road
Uruli Devachi,4,0,90,4,4500,2000,Uruli Devachi
Vadgaon Budruk,1,1,57,1,6785.714286,840,Vadgaon Budruk
Wadgaon Sheri,9,2,200,9,12820.51282,1560,Wadgaon Sheri
Viman Nagar,3,1,112,3,6466.512702,1732,Viman Nagar
Vishrant Wadi,1,0,45,1,3750,1200,Vishrant Wadi
Wagholi,2,1,69.9,2,5547.619048,1260,Wagholi
Wakadewadi,2,1,49,2,4487.179487,1092,Wakadewadi
Wanowrie,2,0,34,2,4111.245466,827,Wanowrie
Warje,2,2,54,2,3979.366249,1357,Warje
Yerawada,1,1,40,2,6153.846154,650,Yerawada
Alandi Road,2,1,54.79,3,3999.270073,1370,Alandi Road
Ambegaon Budruk,3,2,106,3,6144.927536,1725,Ambegaon Budruk
Anandnagar,2,0,70,2,7000,1000,Anandnagar
Aundh,1,0,55,1,4074.074074,1350,Aundh
Aundh Road,4,2,350,4,10937.5,3200,Aundh Road
Balaji Nagar,3,2,110,3,6406.523005,1717,Balaji Nagar
Baner,2,1,34,2,4857.142857,700,Baner
Baner road,2,1,32,2,4000,800,Baner road
Bhandarkar Road,4,3,340,3,14364.17406,2367,Bhandarkar Road
Bhavani Peth,2,1,65,3,4593.639576,1415,Bhavani Peth
Bibvewadi,3,1,145,3,7338.05668,1976,Bibvewadi
